PARAMETERS:
Coordinate Systems:								Person Parameters (lengths in meters, mass relative to body mass
	Linear coordinate system:	CenterOfMass	Rotational coordinate system:	Local	Euler coordinate system:	321		Hip	Length:	0.1057742	Width:	0.1990304	Mass:	0.142	LowerSpine	Length:	0.08500995	MiddleSpine	Length:	0.1076177	Mass:	0.139	Chest	Length:	0.2367696	Width:	0.04779739	Mass:	0.216	Neck	Length:	0.1385345	Head	Length:	0.2055523	Mass:	0.081	UpperLeg	Length:	0.4329244	Mass:	0.1	LowerLeg	Length:	0.4250303	Mass:	0.0465	Foot	Length:	0.1082819	Mass:	0.0145	Toe	Length:	0.06553394	Clavicle	Length:	0.1676729	UpperArm	Length:	0.296593	Mass:	0.028	LowerArm	Length:	0.2474155	Mass:	0.016	Hand	Length:	0.1648274	Mass:	0.006
Units:
	Coordinate:	Centimeter
Frame	Center of mass	 	 	Center of mass projection to ground	 	 	Hip	 	 	LowerSpine	 	 	MiddleSpine	 	 	Chest	 	 	Neck	 	 	Head	 	 	LEye	 	 	REye	 	 	EffectorHead	 	 	RClavicle	 	 	RShoulder	 	 	RForearm	 	 	RHand	 	 	LClavicle	 	 	LShoulder	 	 	LForearm	 	 	LHand	 	 	RThigh	 	 	RShin	 	 	RFoot	 	 	RToe	 	 	EffectorRToe	 	 	LThigh	 	 	LShin	 	 	LFoot	 	 	LToe	 	 	EffectorLToe	 	 
 	Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 
 	x_Center_of_mass	y_Center_of_mass	z_Center_of_mass	x_Center_of_mass_projection_to_ground	y_Center_of_mass_projection_to_ground	z_Center_of_mass_projection_to_ground	x_Hip	y_Hip	z_Hip	x_LowerSpine	y_LowerSpine	z_LowerSpine	x_MiddleSpine	y_MiddleSpine	z_MiddleSpine	x_Chest	y_Chest	z_Chest	x_Neck	y_Neck	z_Neck	x_Head	y_Head	z_Head	x_LEye	y_LEye	z_LEye	x_REye	y_REye	z_REye	x_EffectorHead	y_EffectorHead	z_EffectorHead	x_RClavicle	y_RClavicle	z_RClavicle	x_RShoulder	y_RShoulder	z_RShoulder	x_RForearm	y_RForearm	z_RForearm	x_RHand	y_RHand	z_RHand	x_LClavicle	y_LClavicle	z_LClavicle	x_LShoulder	y_LShoulder	z_LShoulder	x_LForearm	y_LForearm	z_LForearm	x_LHand	y_LHand	z_LHand	x_RThigh	y_RThigh	z_RThigh	x_RShin	y_RShin	z_RShin	x_RFoot	y_RFoot	z_RFoot	x_RToe	y_RToe	z_RToe	x_EffectorRToe	y_EffectorRToe	z_EffectorRToe	x_LThigh	y_LThigh	z_LThigh	x_LShin	y_LShin	z_LShin	x_LFoot	y_LFoot	z_LFoot	x_LToe	y_LToe	z_LToe	x_EffectorLToe	y_EffectorLToe	z_EffectorLToe
102	0	0	0	0	-65.4564	0	0.887822	-22.0149	-14.3882	0.458257	-11.4599	-13.8505	0.559143	-4.42844	-9.07388	0.367042	6.17252	-7.23041	0.470492	29.5946	-10.6939	0.327703	43.3133	-8.77195	3.51321	53.9991	1.34921	-3.94818	53.9752	0.965142	0.364096	63.7734	-10.7471	-2.34652	29.812	-2.47084	-17.9523	29.6113	-8.60753	-33.8735	5.76298	-16.1872	-29.0186	-14.3952	-2.68824	2.42688	29.8272	-2.22513	18.5823	29.5689	-6.70585	36.3542	5.82861	-6.22215	29.036	-14.2519	6.24235	-9.06754	-18.4423	-12.0394	-18.6395	-14.5746	30.0038	-2.32191	-53.7858	28.3516	-2.04258	-59.0738	37.7965	-3.05368	-59.7276	44.2384	10.7395	-17.5475	-13.7744	10.7531	-9.80379	28.8199	5.28618	-51.8141	32.249	4.2818	-55.6413	42.3283	4.04745	-55.1148	48.8563
103	0	0	0	0	-65.8029	0	1.34085	-21.7253	-14.5252	0.92707	-11.1697	-13.9878	0.89182	-4.14453	-9.20102	0.545758	6.44692	-7.32563	0.0331065	29.8629	-10.7934	-0.492329	43.5729	-8.87526	2.34615	54.3417	1.26109	-5.10961	54.1155	0.835773	-0.999916	64.0263	-10.8545	-2.83422	30.0044	-2.58616	-18.3948	29.3615	-8.80668	-33.8098	4.47205	-13.5572	-29.6706	-16.4307	-0.983854	1.93557	30.1491	-2.31406	18.1199	30.2543	-6.69578	34.8104	5.79898	-4.95313	28.5956	-14.9405	7.02167	-8.67555	-18.1238	-12.5029	-17.8781	-14.8145	29.6702	-2.10829	-54.2377	27.7642	-1.82306	-59.5905	37.1724	-2.79465	-60.2745	43.6172	11.1809	-17.2903	-13.5793	10.8388	-10.6915	29.2059	5.56458	-52.7832	31.8469	4.73932	-56.8083	41.8653	4.58335	-56.4052	48.4044
104	0	0	0	0	-66.1247	0	1.83566	-21.5053	-14.7148	1.34958	-10.9543	-14.1486	1.21304	-3.94523	-9.34004	0.663628	6.62609	-7.40066	-0.396337	30.0257	-10.8554	-1.24839	43.7182	-8.92987	1.319	54.5446	1.21739	-6.12866	54.1427	0.780061	-2.23569	64.1551	-10.8978	-3.27916	30.0942	-2.65257	-18.8112	29.1463	-8.90552	-33.4576	3.44143	-11.0075	-30.2921	-17.9678	0.982949	1.48545	30.3513	-2.3728	17.6688	30.8546	-6.73034	33.2194	5.77584	-3.74518	28.3771	-15.4033	8.093	-8.22657	-17.9726	-12.8015	-17.4614	-14.9289	29.3846	-2.24068	-54.5662	27.4542	-2.07494	-59.9512	36.8469	-3.08546	-60.6408	43.2851	11.6358	-17.0125	-13.6364	10.9452	-11.2395	29.2638	5.96372	-53.3885	31.5355	5.17418	-57.4739	41.5323	5.01303	-57.1069	48.0734
105	0	0	0	0	-66.1994	0	2.2611	-21.3546	-14.9277	1.67249	-10.8109	-14.3231	1.45702	-3.82164	-9.4887	0.728708	6.72652	-7.48333	-0.775068	30.1124	-10.8655	-1.88498	43.7803	-8.89743	0.481899	54.6221	1.28212	-6.95702	54.0808	0.846532	-3.2594	64.2009	-10.8019	-3.65492	30.1011	-2.66135	-19.1711	28.9519	-8.9198	-33.0474	2.73908	-8.82939	-30.6844	-18.8963	2.938	1.10411	30.4474	-2.38269	17.2688	31.3195	-6.75129	31.9961	5.8659	-2.89153	28.4335	-15.3935	9.25303	-7.83918	-17.9257	-13.026	-17.3117	-15.0141	29.1167	-2.61617	-54.8591	27.4067	-2.6258	-60.2264	36.8109	-3.71322	-60.8881	43.2395	12.015	-16.7722	-13.8082	11.1488	-11.5252	29.1564	6.5597	-53.7246	31.315	5.75784	-57.8032	41.3136	5.56412	-57.4289	47.8535
106	0	0	0	0	-66.0278	0	2.47148	-21.2704	-15.1049	1.81993	-10.732	-14.4732	1.5673	-3.75637	-9.62105	0.748111	6.77718	-7.57437	-1.06674	30.1545	-10.8616	-2.34478	43.7995	-8.83743	-0.081755	54.6321	1.3755	-7.5146	53.9971	0.963208	-3.9872	64.2079	-10.6589	-3.9178	30.0752	-2.64786	-19.4413	28.7963	-8.86301	-32.8435	2.38786	-7.2354	-30.829	-19.2029	4.67793	0.837331	30.4815	-2.3841	16.9705	31.6149	-6.80898	31.3804	6.05469	-2.48392	28.6483	-14.9711	10.2674	-7.64733	-17.9073	-13.1843	-17.2987	-15.1498	28.9281	-2.78527	-55.0749	27.5677	-2.88501	-60.3834	37.0048	-4.02068	-61.0001	43.4295	12.1987	-16.6321	-13.9838	11.4526	-11.6666	29.0165	7.3601	-53.9187	31.1425	6.60306	-58.0042	41.1418	6.40899	-57.6314	47.6817
107	0	0	0	0	-65.7628	0	2.37889	-21.2618	-15.1913	1.75853	-10.7213	-14.5623	1.54941	-3.74228	-9.71299	0.753371	6.79165	-7.6591	-1.2545	30.1627	-10.8783	-2.60801	43.7942	-8.81243	-0.323965	54.6207	1.40228	-7.75578	53.9348	1.05861	-4.40905	64.1944	-10.5739	-4.02736	30.0462	-2.6382	-19.6009	28.7059	-8.7135	-32.9568	2.33737	-6.26495	-30.7545	-19.0313	6.01002	0.727114	30.485	-2.41834	16.8062	31.7698	-6.99598	31.3507	6.31447	-2.50602	28.8944	-14.2975	10.9572	-7.72094	-17.8707	-13.2205	-17.3335	-15.3231	28.914	-2.41129	-55.1046	27.7898	-2.43793	-60.3603	37.2569	-3.55838	-60.9536	43.6865	12.124	-16.6487	-14.123	11.8156	-11.7281	28.8878	8.15287	-54.0218	30.9701	7.53217	-58.1557	40.9588	7.39932	-57.812	47.5018
108	0	0	0	0	-65.5301	0	2.01843	-21.3164	-15.1665	1.52846	-10.7667	-14.5784	1.44643	-3.76485	-9.75815	0.77871	6.78377	-7.73418	-1.34008	30.1498	-10.9179	-2.69662	43.7775	-8.82909	-0.281381	54.6088	1.35035	-7.71585	53.9036	1.12279	-4.57808	64.1733	-10.5591	-3.98349	30.0252	-2.63556	-19.6481	28.6799	-8.47084	-33.29	2.47396	-5.8586	-30.5231	-18.6188	6.77409	0.772687	30.4763	-2.48997	16.7711	31.8347	-7.32181	31.8164	6.65107	-2.95183	29.2273	-13.5032	11.1637	-8.02207	-17.7974	-13.1184	-17.3606	-15.4637	29.0901	-1.67587	-54.9497	27.9263	-1.51982	-60.1957	37.3975	-2.57596	-60.8053	43.8365	11.8268	-16.8145	-14.2078	12.1905	-11.7875	28.7903	8.70602	-54.0971	30.8564	8.27925	-58.2834	40.8334	8.26018	-57.9729	47.3794
109	0	0	0	0	-65.3589	0	1.47616	-21.3906	-15.0482	1.21162	-10.8283	-14.5477	1.3174	-3.78552	-9.78797	0.872692	6.78926	-7.84067	-1.33259	30.1566	-10.9558	-2.66916	43.7798	-8.82539	-0.0866082	54.6012	1.32339	-7.52304	53.8867	1.22758	-4.6074	64.1752	-10.4951	-3.82765	30.0179	-2.62774	-19.5938	28.6957	-8.18839	-33.699	2.69682	-6.00262	-30.3834	-18.1047	6.97611	0.929787	30.4751	-2.56645	16.8337	31.8929	-7.6848	32.6487	7.10529	-3.79439	29.7973	-12.7062	10.7493	-8.47063	-17.6447	-12.9459	-17.3276	-15.5767	29.38	-0.979867	-54.7857	27.9958	-0.62656	-60.0453	37.4542	-1.59882	-60.6845	43.9034	11.3843	-17.0872	-14.2116	12.5191	-11.9793	28.7635	9.04589	-54.2844	30.9377	8.82778	-58.4792	40.918	8.94366	-58.1741	47.4632
