PARAMETERS:
Coordinate Systems:								Person Parameters (lengths in meters, mass relative to body mass
	Linear coordinate system:	Parent	Rotational coordinate system:	Local	Euler coordinate system:	321		Hip	Length:	0.1057742	Width:	0.1990304	Mass:	0.142	LowerSpine	Length:	0.08500995	MiddleSpine	Length:	0.1076177	Mass:	0.139	Chest	Length:	0.2367696	Width:	0.04779739	Mass:	0.216	Neck	Length:	0.1385345	Head	Length:	0.2055523	Mass:	0.081	UpperLeg	Length:	0.4329244	Mass:	0.1	LowerLeg	Length:	0.4250303	Mass:	0.0465	Foot	Length:	0.1082819	Mass:	0.0145	Toe	Length:	0.06553394	Clavicle	Length:	0.1676729	UpperArm	Length:	0.296593	Mass:	0.028	LowerArm	Length:	0.2474155	Mass:	0.016	Hand	Length:	0.1648274	Mass:	0.006
Units:
	Coordinate:	Centimeter
Frame	Center of mass	 	 	Center of mass projection to ground	 	 	Hip	 	 	LowerSpine	 	 	MiddleSpine	 	 	Chest	 	 	Neck	 	 	Head	 	 	LEye	 	 	REye	 	 	EffectorHead	 	 	RClavicle	 	 	RShoulder	 	 	RForearm	 	 	RHand	 	 	LClavicle	 	 	LShoulder	 	 	LForearm	 	 	LHand	 	 	RThigh	 	 	RShin	 	 	RFoot	 	 	RToe	 	 	EffectorRToe	 	 	LThigh	 	 	LShin	 	 	LFoot	 	 	LToe	 	 	EffectorLToe	 	 
 	Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 Coordinate		 	 
 	x_Center_of_mass	y_Center_of_mass	z_Center_of_mass	x_Center_of_mass_projection_to_ground	y_Center_of_mass_projection_to_ground	z_Center_of_mass_projection_to_ground	x_Hip	y_Hip	z_Hip	x_LowerSpine	y_LowerSpine	z_LowerSpine	x_MiddleSpine	y_MiddleSpine	z_MiddleSpine	x_Chest	y_Chest	z_Chest	x_Neck	y_Neck	z_Neck	x_Head	y_Head	z_Head	x_LEye	y_LEye	z_LEye	x_REye	y_REye	z_REye	x_EffectorHead	y_EffectorHead	z_EffectorHead	x_RClavicle	y_RClavicle	z_RClavicle	x_RShoulder	y_RShoulder	z_RShoulder	x_RForearm	y_RForearm	z_RForearm	x_RHand	y_RHand	z_RHand	x_LClavicle	y_LClavicle	z_LClavicle	x_LShoulder	y_LShoulder	z_LShoulder	x_LForearm	y_LForearm	z_LForearm	x_LHand	y_LHand	z_LHand	x_RThigh	y_RThigh	z_RThigh	x_RShin	y_RShin	z_RShin	x_RFoot	y_RFoot	z_RFoot	x_RToe	y_RToe	z_RToe	x_EffectorRToe	y_EffectorRToe	z_EffectorRToe	x_LThigh	y_LThigh	z_LThigh	x_LShin	y_LShin	z_LShin	x_LFoot	y_LFoot	z_LFoot	x_LToe	y_LToe	z_LToe	x_EffectorLToe	y_EffectorLToe	z_EffectorLToe
102	0	0	0	0	0	0	0	0	0	-0.429565	10.555	0.537716	0.100886	7.03144	4.77657	-0.192101	10.601	1.84346	0.103451	23.422	-3.46345	-0.14279	13.7187	1.92191	3.18551	10.6857	10.1212	-4.27588	10.6619	9.73709	0.0363935	20.4601	-1.97512	-2.71356	23.6394	4.75958	-15.6058	-0.200689	-6.13669	-15.9211	-23.8483	-7.57965	4.85483	-20.1582	13.4989	2.05984	23.6547	5.00528	16.1555	-0.258315	-4.48072	17.7719	-23.7403	0.483695	-7.31816	-20.0805	12.4645	-9.95537	3.57258	2.34875	-9.57191	3.86769	42.0432	16.3175	-39.2112	-1.65221	0.279336	-5.28806	9.44496	-1.0111	-0.653801	6.44184	9.85171	4.46734	0.613796	0.0135467	7.74375	42.5943	-5.46689	-42.0103	3.42907	-1.00438	-3.82728	10.0793	-0.234355	0.526562	6.528
103	0	0	0	0	0	0	0	0	0	-0.413777	10.5557	0.53744	-0.0352499	7.02512	4.78679	-0.346062	10.5915	1.87539	-0.512652	23.416	-3.4678	-0.525435	13.71	1.91817	2.83847	10.7688	10.1363	-4.61728	10.5426	9.71103	-0.507588	20.4534	-1.97924	-3.37998	23.5574	4.73947	-15.5606	-0.642848	-6.22053	-15.415	-24.8895	-4.75048	4.1392	-20.9027	12.5733	1.38981	23.7022	5.01156	16.1843	0.105244	-4.38172	16.6905	-24.4554	1.74265	-6.21482	-20.7395	11.9748	-10.0164	3.60154	2.02237	-9.20257	3.30928	42.1731	15.7698	-39.4232	-1.90604	0.28523	-5.35287	9.40821	-0.971595	-0.683941	6.44479	9.84003	4.43497	0.94597	-0.342029	6.59888	42.7852	-5.27427	-42.0918	2.64099	-0.825254	-4.02505	10.0184	-0.155976	0.403021	6.53913
104	0	0	0	0	0	0	0	0	0	-0.486078	10.5511	0.56628	-0.136546	7.00902	4.80852	-0.54941	10.5713	1.93938	-1.05997	23.3996	-3.45469	-0.852055	13.6925	1.92549	2.56739	10.8264	10.1473	-4.88027	10.4245	9.70993	-0.987295	20.437	-1.96788	-3.94279	23.4681	4.74809	-15.532	-0.947863	-6.25294	-14.6464	-25.7049	-2.10195	3.16542	-21.4092	11.9904	0.821824	23.7252	5.02786	16.1833	0.50329	-4.35754	15.5506	-25.0787	2.98516	-4.84231	-21.1791	11.8382	-10.0622	3.53268	1.91336	-9.23482	3.04371	42.1861	15.2207	-39.6372	-1.9304	0.165736	-5.38508	9.39267	-1.01052	-0.689565	6.4382	9.80009	4.4928	1.07841	-0.690591	5.77297	42.9003	-4.98144	-42.1489	2.27166	-0.789547	-4.08544	9.99678	-0.161152	0.367018	6.54113
105	0	0	0	0	0	0	0	0	0	-0.588602	10.5437	0.604579	-0.215469	6.98922	4.83438	-0.728316	10.5482	2.00537	-1.50378	23.3859	-3.38212	-1.10991	13.668	1.96802	2.36687	10.8418	10.1796	-5.07205	10.3005	9.74396	-1.37442	20.4206	-1.90448	-4.38362	23.3746	4.82198	-15.5162	-1.14919	-6.25845	-13.8763	-26.2129	0.0904113	2.36298	-21.6354	11.7674	0.375402	23.7209	5.10064	16.1647	0.872022	-4.3686	14.7273	-25.4536	3.85976	-3.56253	-21.2594	12.1446	-10.1003	3.4289	1.90167	-9.47256	2.91163	42.1427	14.6956	-39.845	-1.70999	-0.00962466	-5.36739	9.40426	-1.08742	-0.661627	6.42859	9.7539	4.58237	1.11948	-0.866244	5.24699	42.9646	-4.58906	-42.1994	2.15862	-0.801855	-4.07856	9.99861	-0.193723	0.374286	6.53983
106	0	0	0	0	0	0	0	0	0	-0.651552	10.5384	0.631671	-0.252632	6.97566	4.85215	-0.819186	10.5336	2.04668	-1.81485	23.3773	-3.28726	-1.27805	13.645	2.0242	2.26303	10.8326	10.2129	-5.16981	10.1976	9.80064	-1.64242	20.4084	-1.82146	-4.66592	23.298	4.92651	-15.5235	-1.27894	-6.21515	-13.4023	-26.4084	1.62761	2.01454	-21.5907	11.9133	0.0892192	23.7043	5.19027	16.1331	1.1334	-4.42489	14.4099	-25.5602	4.32507	-2.73211	-21.0258	12.7513	-10.1188	3.36312	1.92053	-9.65133	2.75757	42.1125	14.5134	-39.9252	-1.3604	-0.099735	-5.30846	9.43711	-1.13567	-0.616702	6.42471	9.72724	4.63831	1.12108	-0.746087	4.96551	43.0003	-4.09253	-42.2521	2.12603	-0.757048	-4.08547	9.99928	-0.194068	0.372843	6.53991
107	0	0	0	0	0	0	0	0	0	-0.620356	10.5405	0.628918	-0.209124	6.97904	4.84934	-0.796037	10.5339	2.05389	-2.00787	23.371	-3.21916	-1.35352	13.6315	2.06583	2.28405	10.8265	10.2147	-5.14777	10.1407	9.87105	-1.80104	20.4003	-1.7615	-4.78074	23.2546	5.0209	-15.5736	-1.34033	-6.0753	-13.3559	-26.3685	2.44855	2.20232	-21.3687	12.275	-0.0262565	23.6933	5.24076	16.0791	1.28479	-4.57764	14.5445	-25.4553	4.48996	-2.4563	-20.612	13.4632	-10.0998	3.39104	1.97071	-9.6126	2.5477	42.1345	14.9223	-39.7815	-1.12414	-0.0266438	-5.2557	9.46709	-1.12045	-0.593348	6.42959	9.74515	4.61312	1.06825	-0.308469	4.92062	43.0108	-3.6627	-42.2937	2.08225	-0.620698	-4.13396	9.98874	-0.13285	0.343751	6.54303
108	0	0	0	0	0	0	0	0	0	-0.489961	10.5497	0.58808	-0.0820328	7.00182	4.82023	-0.667721	10.5486	2.02397	-2.11879	23.3661	-3.18376	-1.35655	13.6277	2.08885	2.41524	10.8312	10.1794	-5.01923	10.1261	9.95188	-1.88146	20.3957	-1.72997	-4.7622	23.2415	5.09862	-15.6646	-1.34534	-5.83528	-13.6419	-26.2059	2.61224	2.76687	-21.0927	12.6327	-0.0060227	23.6926	5.24421	15.9984	1.3584	-4.83183	15.0453	-25.1837	4.36998	-2.58912	-20.1542	14.1155	-10.0405	3.51899	2.04804	-9.33853	2.33364	42.2085	15.6847	-39.486	-1.16373	0.156047	-5.24602	9.47121	-1.05614	-0.609611	6.43894	9.80839	4.50182	0.958705	0.36368	5.02703	42.9981	-3.48447	-42.3096	2.06604	-0.42677	-4.18636	9.97708	-0.0190727	0.310569	6.546
109	0	0	0	0	0	0	0	0	0	-0.264546	10.5623	0.500491	0.105784	7.04278	4.75972	-0.444709	10.5748	1.9473	-2.20528	23.3673	-3.11512	-1.33657	13.6233	2.1304	2.58255	10.8214	10.1488	-4.85388	10.1068	10.053	-1.93824	20.3954	-1.66966	-4.70034	23.2287	5.21292	-15.7662	-1.32227	-5.56065	-14.1052	-25.9989	2.18577	3.31562	-20.8015	12.9787	0.057095	23.6858	5.27422	15.9039	1.41778	-5.11835	15.815	-24.7876	3.89041	-2.85137	-19.8115	14.5437	-9.94679	3.74584	2.10224	-8.85702	2.068	42.326	16.3478	-39.2089	-1.38422	0.353307	-5.25966	9.45833	-0.97226	-0.639183	6.44928	9.90814	4.30337	0.836539	1.1348	5.1079	42.9751	-3.47322	-42.3051	2.17425	-0.218111	-4.19485	9.98026	0.115888	0.305162	6.54526
